traffic_monthly,Bounce Rate,Conversion Rate,avg_converted,avg_total_ads
,12.83%,,0.02523886203220195,0
,39.05%,,0.02523886203220195,0
,38.87%,,0.02523886203220195,0
,32.57%,,0.02523886203220195,0
,28.05%,,0.02523886203220195,0
,39.09%,,0.02523886203220195,0
,38.46%,,0.02523886203220195,0
,23.21%,,0.02523886203220195,0
,56.61%,,0.02523886203220195,0
,35.98%,,0.02523886203220195,0
,29.49%,,0.02523886203220195,0
,43.42%,,0.02523886203220195,0
,33.16%,,0.02523886203220195,0
,26.08%,,0.02523886203220195,0
,37.01%,,0.02523886203220195,0
,35.77%,,0.02523886203220195,0
,49.05%,,0.02523886203220195,0
,49.24%,,0.02523886203220195,0
,33.25%,,0.02523886203220195,0
,54.01%,,0.02523886203220195,0
,29.86%,,0.02523886203220195,0
,30.87%,,0.02523886203220195,0
,23.61%,,0.02523886203220195,0
,43.13%,,0.02523886203220195,0
,34.74%,,0.02523886203220195,0
,32.68%,,0.02523886203220195,0
,43.90%,,0.02523886203220195,0
,29.65%,,0.02523886203220195,0
,32.56%,,0.02523886203220195,0
,51.67%,,0.02523886203220195,0
,27.01%,,0.02523886203220195,0
,40.16%,,0.02523886203220195,0
,14.96%,,0.02523886203220195,0
,31.78%,,0.02523886203220195,0
,39.79%,,0.02523886203220195,0
,40.62%,,0.02523886203220195,0
,39.74%,,0.02523886203220195,0
,20.03%,,0.02523886203220195,0
,34.19%,,0.02523886203220195,0
,20.35%,,0.02523886203220195,0
,40.68%,,0.02523886203220195,0
,34.22%,,0.02523886203220195,0
,30.26%,,0.02523886203220195,0
,34.35%,,0.02523886203220195,0
,47.73%,,0.02523886203220195,0
,41.03%,,0.02523886203220195,0
,54.82%,,0.02523886203220195,0
,48.02%,,0.02523886203220195,0
,35.35%,,0.02523886203220195,0
,27.95%,,0.02523886203220195,0
,49.99%,,0.02523886203220195,0
,21.12%,,0.02523886203220195,0
,25.31%,,0.02523886203220195,0
,22.68%,,0.02523886203220195,0
,71.41%,,0.02523886203220195,0
,56.86%,,0.02523886203220195,0
,59.10%,,0.02523886203220195,0
,31.20%,,0.02523886203220195,0
,35.97%,,0.02523886203220195,0
,47.48%,,0.02523886203220195,0
,51.64%,,0.02523886203220195,0
,49.19%,,0.02523886203220195,0
,56.05%,,0.02523886203220195,0
,37.23%,,0.02523886203220195,0
,62.49%,,0.02523886203220195,0
,25.97%,,0.02523886203220195,0
,40.69%,,0.02523886203220195,0
,59.69%,,0.02523886203220195,0
